7,1,20181219,1,8,"1",1,0,1.00,500.00,1.00,500,510,0,0,1,00000000
7,1,20181219,50,2,"1",1,0,0.00,2876.00,0.00,2876,2876,0,0,0,00000000
7,1,20181219,50,3,"1",1,0,0.00,4.00,0.00,4,4,0,0,0,00000000
7,1,20181219,50,4,"1",1,0,0.00,71000.00,0.00,71000,71000,0,0,0,00000000
7,1,20181219,50,5,"1",1,0,0.00,1120.00,0.00,1120,1120,0,0,0,00000000
7,1,20181219,50,7,"1",1,0,0.00,0.00,0.00,0,0,0,0,0,00000000
7,1,20181219,50,10,"1",1,0,0.00,1910.00,0.00,1910,1910,0,0,0,00000000
7,1,20181219,52,9,"1",1,0,1.00,1900.00,1.00,1900,1900,0,0,0,00000000
7,1,20181219,59,12,"1",1,0,1.00,75510.00,1.00,75510,75510,0,0,0,00000000
7,1,20181220,1,3,"2",1,0,1.00,1980.00,1.00,1980,2000,0,0,1,00000000
7,1,20181220,1,3,"1",1,0,1.00,1980.00,1.00,1980,2000,0,0,1,00000000
7,1,20181220,1,4,"1",1,0,1.00,2900.00,1.00,2900,5000,0,0,1,00000000
7,1,20181220,1,9,"1",1,0,1.00,1900.00,1.00,1900,1900,0,0,1,00000000
7,1,20181220,4,7,"2",1,0,1.00,5000.00,1.00,5000,0,0,0,0,00000000
7,1,20181220,4,7,"1",1,0,1.00,5000.00,1.00,5000,0,0,0,0,00000000
7,1,20181220,4,10,"2",2,0,1.00,5000.00,1.00,5000,0,0,0,0,00000000
7,1,20181220,4,10,"1",2,0,1.00,5000.00,1.00,5000,0,0,0,0,00000000
7,1,20181220,4,11,"2",5,0,1.00,100.00,1.00,100,0,0,0,0,00000000
7,1,20181220,4,11,"1",5,0,1.00,100.00,1.00,100,0,0,0,0,00000000
7,1,20181220,4,12,"2",3,0,1.00,500.00,1.00,500,0,0,0,0,00000000
7,1,20181220,4,12,"2",5,0,1.00,100.00,1.00,100,0,0,0,0,00000000
7,1,20181220,4,12,"1",3,0,1.00,500.00,1.00,500,0,0,0,0,00000000
7,1,20181220,4,12,"1",5,0,1.00,100.00,1.00,100,0,0,0,0,00000000
7,1,20181220,4,13,"1",1,0,1.00,10000.00,1.00,10000,0,0,0,0,00000000
7,1,20181220,50,2,"1",1,0,0.00,75510.00,0.00,75510,75510,0,0,0,00000000
7,1,20181220,50,14,"1",1,0,0.00,4490.00,0.00,4490,4490,0,0,0,00000000
7,1,20181220,51,15,"1",1,0,1.00,1000.00,1.00,1000,1000,0,0,0,00000000
7,1,20181220,51,17,"1",1,0,1.00,900.00,1.00,900,900,0,0,0,00000000
7,1,20181220,52,16,"1",1,0,1.00,1000.00,1.00,1000,1000,0,0,0,00000000
7,1,20181220,59,18,"2",1,0,1.00,95700.00,1.00,95700,95700,0,0,0,00000000
7,1,20181220,59,18,"1",1,0,1.00,95700.00,1.00,95700,95700,0,0,0,00000000
7,1,20181220,59,19,"1",1,0,1.00,96200.00,1.00,96200,95700,0,0,0,00000000
7,1,20181222,1,9,"1",5,0,1.00,4400.00,1.00,4400,5000,0,0,0,00000000
7,1,20181222,50,3,"1",1,0,0.00,1212121.00,0.00,1212121,1212121,0,0,0,00000000
7,1,20181222,50,5,"1",1,0,0.00,-712121.00,0.00,-712121,-712121,0,0,0,00000000
7,1,20181222,59,7,"2",1,0,1.00,10000.00,1.00,10000,500000,0,0,0,00000000
7,1,20181222,59,7,"1",1,0,1.00,10000.00,1.00,10000,500000,0,0,0,00000000
7,1,20181222,59,8,"2",1,0,1.00,10000.00,1.00,10000,500000,0,0,0,00000000
7,1,20181222,59,8,"2",5,0,1.00,90000.00,1.00,90000,0,0,0,0,00000000
7,1,20181222,59,8,"1",1,0,1.00,10000.00,1.00,10000,500000,0,0,0,00000000
7,1,20181222,59,8,"1",5,0,1.00,90000.00,1.00,90000,0,0,0,0,00000000
7,1,20181222,59,10,"1",1,0,1.00,10000.00,1.00,10000,500000,0,0,0,00000000
7,1,20181223,1,4,"1",1,0,1.00,3000.00,1.00,3000,3000,0,0,1,00000000
7,1,20181224,1,4,"1",1,0,1.00,4400.00,1.00,4400,4400,0,0,1,00000000
7,1,20181224,1,12,"1",5,0,1.00,1100.00,1.00,1100,1100,0,0,0,00000000
7,1,20181224,50,2,"1",1,0,0.00,30000.00,0.00,30000,30000,0,0,0,00000000
7,1,20181224,50,7,"1",1,0,0.00,20000.00,0.00,20000,20000,0,0,0,00000000
7,1,20181224,50,9,"1",1,0,0.00,-17500.00,0.00,-17500,-17500,0,0,0,00000000
7,1,20181224,51,11,"1",1,0,1.00,5000.00,1.00,5000,5000,0,0,0,00000000
